,,,,Rohith Parchuru,,,,,,,Rohith,,,,
,,,,,,,,,,,Parchuru,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Concat,
Searching,,,,MID,,,,,,find,,,,,
,,,,,,,,,,,,,,,
Old Text,Searching,,,Text,OutPut,,,,,Old,New,,,Texts,Concat
Rohith Parchuru,8,,,,,,,,,Rohith Parchuru,5,,,,Rohith Parchuru
MITS,3,,,Data Analytics,Data ,,,,,Searching,7,,,,
,,,,Data Science, Science,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Replace,,,,,,Substitue,,,,,
,,,,,,,,,,,,,,,
,,,,Text,Updated Text,,,,,,,,,,
,,,,,,,,,,old,new,,,,
,,,,abc-2020-12,abc-2026-12,,,,,abc-2020-123,abc-2026-123,,,,
,,,,College,Collague,,,,,,,,,,
